Código UC,Nome da UC,Municípios Abrangidos
0000.00.1435,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA MATA ATLÂNTICA DA MANONA,PORTO SEGURO (BA)
0000.00.1438,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SOSSEGO,URUÇUCA (BA)
0000.00.1441,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RETIRO PARAÍSO,MACAPÁ (AP)
0000.00.1443,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE URBANO,SANTANA (AP)
0000.00.1444,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALDEIA EKINOX,MACAPÁ (AP)
0000.00.1460,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SANTA TEREZA,ATALAIA (AL)
0000.00.1461,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LULA LOBO I,CORURIPE (AL)
0000.00.1462,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO PEDRO,PILAR (AL)
0000.00.1464,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ROSA DO SOL,BARRA DE SÃO MIGUEL (AL)
0000.00.1518,RESERVA EXTRATIVISTA DO RIO CAJARI,LARANJAL DO JARI (AP) - MAZAGÃO (AP) - VITÓRIA DO JARI (AP)
0000.00.1520,RESERVA EXTRATIVISTA DO QUILOMBO FLEXAL,MIRINZAL (MA)
0000.00.1563,RESERVA EXTRATIVISTA ACAÚ-GOIANA,CAAPORÃ (PB) - GOIANA (PE) - PITIMBU (PB)
0000.00.1808,RESERVA EXTRATIVISTA DE CASSURUBÁ,ALCOBAÇA (BA) - CARAVELAS (BA) - NOVA VIÇOSA (BA)
0000.00.1809,RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE,BEBERIBE (CE)
0000.00.1813,REFÚGIO DE VIDA SILVESTRE DO RIO DOS FRADES,PORTO SEGURO (BA)
0000.00.1880,REFÚGIO DE VIDA SILVESTRE DE UNA,UNA (BA)
0000.00.1909,PARQUE NACIONAL DA SERRA DAS LONTRAS,ARATACA (BA) - SÃO JOSÉ DA VITÓRIA (BA) - UNA (BA)
0000.00.1911,REFÚGIO DE VIDA SILVESTRE DE SANTA CRUZ,ARACRUZ (ES) - FUNDÃO (ES) - SERRA (ES)
0000.00.1912,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS,ARACRUZ (ES) - FUNDÃO (ES) - SERRA (ES)
0000.00.2070,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA UNIÃO,ILHÉUS (BA)
0000.00.2071,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO II,PORTO SEGURO (BA)
0000.00.2072,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO III,PORTO SEGURO (BA)
0000.00.2077,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAHY,PRADO (BA)
0000.00.2081,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAPÃO REDONDO,BALNEÁRIO ARROIO DO SILVA (SC)
0000.00.2087,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CURIÓ,SÃO SEBASTIÃO DO PASSÉ (BA)
0000.00.2095,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO CAJU,ITAPORANGA D'AJUDA (SE)
0000.00.2096,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PEREIRA,CORURIPE (AL)
0000.00.2097,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DONA BENTA E SEU CABOCLO,PIRAMBU (SE)
0000.00.2101,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL,PORTO SEGURO (BA)
0000.00.2107,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DO TANGUÁ,ANGRA DOS REIS (RJ)
0000.00.2115,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO NORTE I,PRADO (BA)
0000.00.2116,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO NORTE II,PRADO (BA)
0000.00.2119,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL HELICO,ILHÉUS (BA)
0000.00.2124,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JACUBA VELHA,PORTO SEGURO (BA)
0000.00.2129,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI,SANTO ANTÔNIO DO TAUÁ (PA)
0000.00.2134,"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA 01 (BOM JARDIM) E MATA 02,03 E 04 (TAPERA)",SANTA LUZIA DO ITANHY (SE)
0000.00.2135,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA 01 E 02 (MARINHEIRO) E MATA 03 (PEDRA DA URÇA),SANTA LUZIA DO ITANHY (SE)
0000.00.2137,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO PROFESSOR BAPTISTA,DOM PEDRO DE ALCÂNTARA (RS)
0000.00.2139,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATUMBO,CASIMIRO DE ABREU (RJ)
0000.00.2145,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLHO-DE-FOGO-RENDADO,SÃO SEBASTIÃO DO PASSÉ (BA)
0000.00.2147,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OURO VERDE,IGRAPIÚNA (BA)
0000.00.2152,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PERNA DO PIRATA,MORRETES (PR)
0000.00.2153,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTAL CURUPIRA,PORTO SEGURO (BA)
0000.00.2157,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMAVERA,PRADO (BA)
0000.00.2162,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA CAPITÃO,ITACARÉ (BA)
0000.00.2182,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MARIA VICENTINI LOPES,BELMONTE (BA)
0000.00.2187,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SÃO JOSÉ,ILHÉUS (BA)
0000.00.2190,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA TERRAVISTA I,PORTO SEGURO (BA)
0000.00.2191,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA TERRAVISTA II,PORTO SEGURO (BA)
0000.00.2194,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIACHO DAS PEDRAS,PRADO (BA)
0000.00.2196,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL I,PORTO SEGURO (BA)
0000.00.2197,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL II,PORTO SEGURO (BA)
0000.00.2198,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL III,PORTO SEGURO (BA)
0000.00.2199,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL IV,PORTO SEGURO (BA)
0000.00.2200,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL V,PORTO SEGURO (BA)
0000.00.2202,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO JARDIM,PORTO SEGURO (BA)
0000.00.2207,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA I,PRADO (BA)
0000.00.2208,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA II,PRADO (BA)
0000.00.2209,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA III,PRADO (BA)
0000.00.2215,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SUMIDOURO E SÍTIO PEITO DE POMBA,MACAÉ (RJ)
0000.00.2221,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÊS MORROS,CASIMIRO DE ABREU (RJ)
0000.00.2223,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRIÂNGULO,PRADO (BA)
0000.00.2225,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TUIM,ITUBERÁ (BA)
0000.00.2310,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BARRA DO SANA,MACAÉ (RJ)
0000.00.2311,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA SEBUÍ,GUARAQUEÇABA (PR)
0000.00.2633,PARQUE NACIONAL DA FURNA FEIA,BARAÚNA (RN) - MOSSORÓ (RN)
0000.00.2634,RESERVA BIOLÓGICA BOM JESUS,ANTONINA (PR) - GUARAQUEÇABA (PR) - PARANAGUÁ (PR)
0000.00.2702,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRACIOSA,MORRETES (PR)
0000.00.2705,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO GRANDE,CASIMIRO DE ABREU (RJ)
0000.00.2716,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PASSARIM II,PAULO LOPES (SC)
0000.00.2740,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAGOA ENCANTADA DO MORRO DA LUCRÉCIA,PIRAMBU (SE)
0000.00.2874,PARQUE NACIONAL MARINHO DAS ILHAS DOS CURRAIS,PONTAL DO PARANÁ (PR)
0000.00.3066,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO GUIGO,CATU (BA)
0000.00.3067,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GUANANDI,ILHÉUS (BA)
0000.00.3068,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DA BARRA,PORTO SEGURO (BA)
0000.00.3076,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DO SENHOR,URUÇUCA (BA)
0000.00.3080,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILHA ENCANTADA,ARACATI (CE)
0000.00.3087,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRATA,BARREIRINHAS (MA)
0000.00.3132,RESERVA EXTRATIVISTA MARINHA MOCAPAJUBA,SÃO CAETANO DE ODIVELAS (PA)
0000.00.3133,RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO,MARAPANIM (PA)
0000.00.3134,RESERVA EXTRATIVISTA MARINHA CUINARANA,MAGALHÃES BARATA (PA)
0000.00.3137,PARQUE NACIONAL GUARICANA,GUARATUBA (PR) - MORRETES (PR) - SÃO JOSÉ DOS PINHAIS (PR)
0000.00.3432,REFÚGIO DE VIDA SILVESTRE DO ARQUIPÉLAGO DE ALCATRAZES,SÃO SEBASTIÃO (SP)
0000.00.3633,ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DE TRINDADE E MARTIM VAZ,VITÓRIA (ES)
0000.00.3642,MONUMENTO NATURAL DAS ILHAS DE TRINDADE E MARTIM VAZ E DO MONTE COLÚMBIA,VITÓRIA (ES)
0000.00.3643,ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DE SÃO PEDRO E SÃO PAULO,NATAL (RN)
0000.00.3644,MONUMENTO NATURAL DO ARQUIPÉLAGO DE SÃO PEDRO E SÃO PAULO,NATAL (RN)
0000.00.3651,RESERVA EXTRATIVISTA ITAPETININGA,BEQUIMÃO (MA)
0000.00.3653,RESERVA EXTRATIVISTA DA BAÍA DO TUBARÃO,HUMBERTO DE CAMPOS (MA) - ICATU (MA)
0000.00.3654,RESERVA EXTRATIVISTA ARAPIRANGA-TROMAÍ,CARUTAPERA (MA) - LUÍS DOMINGUES (MA)
0000.00.3658,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA VOLTA VELHA - PE. PIET VAN DER AART,ITAPOÁ (SC)
0000.00.3660,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BRAVA BEACH INTERNACIONAL,ITAJAÍ (SC)
0000.00.3664,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS ÁGUAS E DAS MATAS,TAPEROÁ (BA)
0000.00.3666,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MATO GROSSO,TAPEROÁ (BA)
0000.00.3667,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JUERANA MILAGROSA,URUÇUCA (BA)
0000.00.3668,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS NASCENTES,TAPEROÁ (BA)
0000.00.3673,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JARDIM DOS BEIJA-FLORES,PAULO LOPES (SC)
0000.00.3683,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO,FLORIANÓPOLIS (SC)
0000.00.3687,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUNAS DOURADAS,EXTREMOZ (RN)
0000.00.4470,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DO SÃO JOSÉ II,ESPLANADA (BA)
0000.00.4481,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA ENCANTADA,ITACARÉ (BA)
0000.00.4491,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DA BELA,BAÍA FORMOSA (RN)
0000.00.4492,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PAIQUERÊ,NOVA IGUAÇU (RJ)
0000.00.4504,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JATAIPEBA,NILO PEÇANHA (BA)
0000.00.4506,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ELDORADO,SAQUAREMA (RJ)
0000.00.4510,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BELÉM,ICAPUÍ (CE)
0000.00.4517,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ENCONTRO DAS ÁGUAS,PARANAGUÁ (PR)
0000.00.4525,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DOS ZIMBROS,PORTO BELO (SC)
0000.00.4777,RESERVA EXTRATIVISTA FILHOS DO MANGUE,PRIMAVERA (PA) - QUATIPURU (PA) - SÃO JOÃO DE PIRABAS (PA) - TRACUATEUA (PA)
0000.00.4780,RESERVA EXTRATIVISTA VIRIANDEUA,QUATIPURU (PA) - SALINÓPOLIS (PA) - SÃO JOÃO DE PIRABAS (PA)
0000.15.1023,ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ,AFUÁ (PA) - ANAJÁS (PA) - BREVES (PA) - CACHOEIRA DO ARARI (PA) - CHAVES (PA) - CURRALINHO (PA) - MUANÁ (PA) - SALVATERRA (PA) - SANTA CRUZ DO ARARI (PA) - SÃO SEBASTIÃO DA BOA VISTA (PA) - SOURE (PA)
0000.15.1024,ÁREA DE PROTEÇÃO AMBIENTAL DE ALGODOAL-MAIANDEUA,MARACANÃ (PA)
0000.15.1025,ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO METROLPOLITANA DE BELÉM,ANANINDEUA (PA) - BELÉM (PA)
0000.15.1027,ÁREA DE PROTEÇÃO AMBIENTAL DA ILHA DO COMBU,BELÉM (PA)
0000.15.1881,REFÚGIO DE VIDA SILVESTRE METRÓPOLE DA AMAZÔNIA,ANANINDEUA (PA) - BENEVIDES (PA) - MARITUBA (PA) - SANTA IZABEL DO PARÁ (PA)
0000.15.2042,PARQUE ESTADUAL CHARAPUCU,AFUÁ (PA)
0000.15.3479,REFÚGIO DE VIDA SILVESTRE PADRE SÉRGIO TONETTO,MARACANÃ (PA)
0000.15.3481,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CAMPO DAS MANGABAS,MARACANÃ (PA)
0000.15.3828,MONUMENTO NATURAL ATALAIA,SALINÓPOLIS (PA)
0000.16.0291,RESERVA BIOLÓGICA DO PARAZINHO,MACAPÁ (AP)
0000.16.0292,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO IRATAPURU,LARANJAL DO JARI (AP) - MAZAGÃO (AP) - PEDRA BRANCA DO AMAPARI (AP)
0000.16.0293,ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ,MACAPÁ (AP)
0000.16.0885,FLORESTA ESTADUAL DO AMAPÁ,AMAPÁ (AP) - CALÇOENE (AP) - FERREIRA GOMES (AP) - MAZAGÃO (AP) - OIAPOQUE (AP) - PORTO GRANDE (AP) - PRACUÚBA (AP) - SERRA DO NAVIO (AP) - TARTARUGALZINHO (AP)
0000.16.0886,ÁREA DE PROTEÇÃO AMBIENTAL DA FAZENDINHA,MACAPÁ (AP)
0000.21.1882,PARQUE ESTADUAL DO BACANGA,SÃO LUÍS (MA)
0000.21.1885,ÁREA DE PROTEÇÃO AMBIENTAL DAS REENTRÂNCIAS MARANHENSES,ALCÂNTARA (MA) - BACURI (MA) - BEQUIMÃO (MA) - CÂNDIDO MENDES (MA) - CARUTAPERA (MA) - CEDRAL (MA) - CURURUPU (MA) - GODOFREDO VIANA (MA) - GUIMARÃES (MA) - LUÍS DOMINGUES (MA) - MIRINZAL (MA) - TURIAÇU (MA)
0000.21.1886,PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUÍS,CURURUPU (MA)
0000.21.1887,ÁREA DE PROTEÇÃO AMBIENTAL DA BAIXADA MARANHENSE,ANAJATUBA (MA) - BEQUIMÃO (MA) - CAJARI (MA) - LAGO VERDE (MA) - MAFRA (SC) - MATINHA (MA) - MIRINZAL (MA) - MONÇÃO (MA) - OLHO D'ÁGUA DAS CUNHÃS (MA) - PALMEIRÂNDIA (MA) - PENALVA (MA) - PERI MIRIM (MA) - PINDARÉ-MIRIM (MA) - PINHEIRO (MA) - PIO XII (MA) - SANTA HELENA (MA) - SÃO BENTO (MA) - SÃO MATEUS DO MARANHÃO (MA) - SÃO VICENTE FERRER (MA) - UNIÃO (PI) - VIANA (MA) - VITÓRIA DO MEARIM (MA)
0000.21.1888,ÁREA DE PROTEÇÃO AMBIENTAL DE UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS,AXIXÁ (MA) - BARREIRINHAS (MA) - HUMBERTO DE CAMPOS (MA) - ICATU (MA) - MORROS (MA) - PAÇO DO LUMIAR (MA) - PRESIDENTE JUSCELINO (MA) - PRIMEIRA CRUZ (MA) - RAPOSA (MA) - ROSÁRIO (MA) - SANTA QUITÉRIA DO MARANHÃO (MA) - SANTA RITA (MA) - SÃO BENEDITO DO RIO PRETO (MA) - SÃO BERNARDO (MA) - SÃO JOSÉ DE RIBAMAR (MA) - SÃO LUÍS (MA) - URBANO SANTOS (MA)
0000.21.1889,ÁREA DE PROTEÇÃO AMBIENTAL DA FOZ DO RIO DAS PREGUIÇAS - PEQUENOS LENÇÓIS - REGIÃO LAGUNAR ADJACENTE,ÁGUA DOCE DO MARANHÃO (MA) - ARAIOSES (MA) - BARREIRINHAS (MA) - TUTÓIA (MA)
0000.21.1890,ÁREA DE PROTEÇÃO AMBIENTAL DO ITAPIRACÓ,SÃO JOSÉ DE RIBAMAR (MA) - SÃO LUÍS (MA)
0000.21.1891,PARQUE ESTADUAL DO SÍTIO DO RANGEDOR,SÃO LUÍS (MA)
0000.21.1893,ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO DO MARACANÃ,SÃO LUÍS (MA)
0000.21.3543,PARQUE ESTADUAL MARINHO BANCO DO TAROL,CURURUPU (MA)
0000.21.3544,PARQUE ESTADUAL MARINHO BANCO DO ÁLVARO,CURURUPU (MA)
0000.22.4801,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DA LAGOA DO PORTINHO,LUÍS CORREIA (PI) - PARNAÍBA (PI)
0000.22.4809,MONUMENTO NATURAL ESTADUAL DAS ITANS,CAJUEIRO DA PRAIA (PI)
0000.23.0947,PARQUE ESTADUAL MARINHO DA PEDRA DA RISCA DO MEIO,FORTALEZA (CE)
0000.23.0949,ÁREA DE PROTEÇÃO AMBIENTAL DO LAGAMAR DO CAUIPE,CAUCAIA (CE)
0000.23.0950,ÁREA DE PROTEÇÃO AMBIENTAL DAS DUNAS DO LITORAL OESTE,PARACURU (CE) - SÃO GONÇALO DO AMARANTE (CE)
0000.23.0951,ÁREA DE PROTEÇÃO AMBIENTAL DO ESTUÁRIO DO RIO CEARÁ,CAUCAIA (CE) - FORTALEZA (CE)
0000.23.0952,ESTAÇÃO ECOLÓGICA DO PÉCEM,CAUCAIA (CE) - SÃO GONÇALO DO AMARANTE (CE)
0000.23.0953,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DO URUAÚ,BEBERIBE (CE)
0000.23.0955,ÁREA DE PROTEÇÃO AMBIENTAL DO ESTUÁRIO DO RIO CURU,PARACURU (CE) - PARAIPABA (CE)
0000.23.0956,ÁREA DE PROTEÇÃO AMBIENTAL DO ESTUÁRIO DO RIO MUNDAÚ,ITAPIPOCA (CE) - TRAIRI (CE)
0000.23.0957,ÁREA DE PROTEÇÃO AMBIENTAL DAS DUNAS DE PARACURU,PARACURU (CE)
0000.23.0958,ÁREA DE PROTEÇÃO AMBIENTAL DAS DUNAS DA LAGOINHA,PARAIPABA (CE)
0000.23.0959,ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PACOTI,AQUIRAZ (CE) - EUSÉBIO (CE) - FORTALEZA (CE)
0000.23.0961,MONUMENTO NATURAL DAS FALÉSIAS DE BEBERIBE,BEBERIBE (CE)
0000.23.0962,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DA JIJOCA,CRUZ (CE) - JIJOCA DE JERICOACOARA (CE)
0000.23.0963,PARQUE ESTADUAL DO COCÓ,FORTALEZA (CE) - ITAITINGA (CE) - MARACANAÚ (CE) - PACATUBA (CE)
0000.23.1931,PARQUE ESTADUAL BOTÂNICO DO CEARÁ,CAUCAIA (CE)
0000.23.1932,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO SÍTIO CURIÓ,FORTALEZA (CE)
0000.23.3807,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO CAMBEBA,FORTALEZA (CE)
0000.23.4275,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AQUIRAZ RIVIERA,AQUIRAZ (CE)
0000.23.4278,ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MARANGUAPINHO,FORTALEZA (CE) - MARACANAÚ (CE) - MARANGUAPE (CE)
0000.23.4640,ÁREA DE PROTEÇÃO AMBIENTAL BERÇÁRIOS DA VIDA MARINHA,ICAPUÍ (CE)
0000.23.4866,PARQUE ESTADUAL DAS ÁGUAS,AQUIRAZ (CE) - GUAIÚBA (CE) - HORIZONTE (CE) - ITAITINGA (CE) - PACAJUS (CE) - PACATUBA (CE)
0000.23.4867,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DA PRECABURA,EUSÉBIO (CE) - FORTALEZA (CE)
0000.24.1468,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ESTADUAL PONTA DO TUBARÃO,GUAMARÉ (RN) - MACAU (RN)
0000.24.1469,ÁREA DE PROTEÇÃO AMBIENTAL DOS RECIFES DE CORAIS,MAXARANGUAPE (RN) - RIO DO FOGO (RN) - TOUROS (RN)
0000.24.1470,AREA DE PROTEÇÃO AMBIENTAL DE JENIPABU,EXTREMOZ (RN) - NATAL (RN)
