CD_MUN,NM_MUN,cod_MunCost
4323804,Xangri-lá,4323804
4323002,Viamão,4323002
4322327,Turuçu,4322327
4321832,Três Forquilhas,4321832
4321667,Três Cachoeiras,4321667
4321600,Tramandaí,4321600
4321501,Torres,4321501
4321436,Terra de Areia,4321436
4321352,Tavares,4321352
4321105,Tapes,4321105
4318804,São Lourenço do Sul,4318804
4318507,São José do Norte,4318507
4317608,Santo Antônio da Patrulha,4317608
4317301,Santa Vitória do Palmar,4317301
4315602,Rio Grande,4315602
4314407,Pelotas,4314407
4313656,Palmares do Sul,4313656
4313508,Osório,4313508
4312500,Mostardas,4312500
4312443,Morrinhos do Sul,4312443
4311775,Maquiné,4311775
4311734,Mampituba,4311734
4311007,Jaguarão,4311007
4310652,Itati,4310652
4310330,Imbé,4310330
4306551,Dom Pedro de Alcântara,4306551
4306056,Cristal,4306056
4305454,Cidreira,4305454
4305439,Chuí,4305439
4304671,Capivari do Sul,4304671
4304663,Capão do Leão,4304663
4304630,Capão da Canoa,4304630
4303509,Camaquã,4303509
4301909,Barra do Ribeiro,4301909
4301636,Balneário Pinhal,4301636
4301305,Arroio Grande,4301305
4301073,Arroio do Padre,4301073
4301057,Arroio do Sal,4301057
4300851,Arambaré,4300851
4220000,Balneário Rincão,4220000
4218707,Tubarão,4218707
4218004,Tijucas,4218004
4217709,Sombrio,4217709
4216602,São José,4216602
4216404,São João do Sul,4216404
4216206,São Francisco do Sul,4216206
4215653,Santa Rosa do Sul,4215653
4213500,Porto Belo,4213500
4212809,Balneário Piçarras,4212809
4212650,Pescaria Brava,4212650
4212502,Penha,4212502
4212304,Paulo Lopes,4212304
4212254,Passo de Torres,4212254
4211900,Palhoça,4211900
4211306,Navegantes,4211306
4210407,Maracajá,4210407
4209409,Laguna,4209409
4209102,Joinville,4209102
4208807,Jaguaruna,4208807
4208450,Itapoá,4208450
4208302,Itapema,4208302
4208203,Itajaí,4208203
4207304,Imbituba,4207304
4207205,Imaruí,4207205
4207007,Içara,4207007
4206009,Governador Celso Ramos,4206009
4205803,Garuva,4205803
4205704,Garopaba,4205704
4205407,Florianópolis,4205407
4203956,Capivari de Baixo,4203956
4203204,Camboriú,4203204
4202453,Bombinhas,4202453
4202305,Biguaçu,4202305
4202107,Barra Velha,4202107
4202073,Balneário Gaivota,4202073
4202057,Balneário Barra do Sul,4202057
4202008,Balneário Camboriú,4202008
4201950,Balneário Arroio do Silva,4201950
4201406,Araranguá,4201406
4201307,Araquari,4201307
4119954,Pontal do Paraná,4119954
4118204,Paranaguá,4118204
4116208,Morretes,4116208
4115705,Matinhos,4115705
4109609,Guaratuba,4109609
4109500,Guaraqueçaba,4109500
4101200,Antonina,4101200
3555406,Ubatuba,3555406
3551009,São Vicente,3551009
3550704,São Sebastião,3550704
3548500,Santos,3548500
3541000,Praia Grande,3541000
3537602,Peruíbe,3537602
3531100,Mongaguá,3531100
3522109,Itanhaém,3522109
3520426,Ilha Comprida,3520426
3520400,Ilhabela,3520400
3520301,Iguape,3520301
3518701,Guarujá,3518701
3513504,Cubatão,3513504
3510500,Caraguatatuba,3510500
3509908,Cananéia,3509908
3506359,Bertioga,3506359
3305554,Seropédica,3305554
3305505,Saquarema,3305505
3305208,São Pedro da Aldeia,3305208
3305109,São João de Meriti,3305109
3305000,São João da Barra,3305000
3304904,São Gonçalo,3304904
3304755,São Francisco de Itabapoana,3304755
3304557,Rio de Janeiro,3304557
3304524,Rio das Ostras,3304524
3304151,Quissamã,3304151
3303807,Paraty,3303807
3303500,Nova Iguaçu,3303500
3303302,Niterói,3303302
3303203,Nilópolis,3303203
3302858,Mesquita,3302858
3302700,Maricá,3302700
3302601,Mangaratiba,3302601
3302502,Magé,3302502
3302403,Macaé,3302403
3302007,Itaguaí,3302007
3301900,Itaboraí,3301900
3301876,Iguaba Grande,3301876
3301850,Guapimirim,3301850
3301702,Duque de Caxias,3301702
3301306,Casimiro de Abreu,3301306
3301009,Campos dos Goytacazes,3301009
3300936,Carapebus,3300936
3300704,Cabo Frio,3300704
3300456,Belford Roxo,3300456
3300258,Arraial do Cabo,3300258
3300233,Armação dos Búzios,3300233
3300209,Araruama,3300209
3300100,Angra dos Reis,3300100
3205309,Vitória,3205309
3205200,Vila Velha,3205200
3205101,Viana,3205101
3205010,Sooretama,3205010
3205002,Serra,3205002
3204906,São Mateus,3204906
3204302,Presidente Kennedy,3204302
3204203,Piúma,3204203
3203320,Marataízes,3203320
3203205,Linhares,3203205
3203056,Jaguaré,3203056
3202801,Itapemirim,3202801
3202405,Guarapari,3202405
3202207,Fundão,3202207
3201605,Conceição da Barra,3201605
3201308,Cariacica,3201308
3200607,Aracruz,3200607
3200409,Anchieta,3200409
2933208,Vera Cruz,2933208
2932903,Valença,2932903
2932705,Uruçuca,2932705
2932507,Una,2932507
2931202,Taperoá,2931202
2930709,Simões Filho,2930709
2929750,Saubara,2929750
2929503,São Sebastião do Passé,2929503
2929206,São Francisco do Conde,2929206
2929008,São Félix,2929008
2928604,Santo Amaro,2928604
2928059,Santa Luzia,2928059
2927705,Santa Cruz Cabrália,2927705
2927408,Salvador,2927408
2927309,Salinas da Margarida,2927309
2925501,Prado,2925501
2925303,Porto Seguro,2925303
2925204,Pojuca,2925204
2923001,Nova Viçosa,2923001
2922607,Nilo Peçanha,2922607
2922508,Nazaré,2922508
2922003,Mucuri,2922003
2921005,Mata de São João,2921005
2920700,Maraú,2920700
2920601,Maragogipe,2920601
2919926,Madre de Deus,2919926
2919207,Lauro de Freitas,2919207
2917904,Jandaíra,2917904
2917805,Jaguaripe,2917805
2917300,Ituberá,2917300
2916104,Itaparica,2916104
2915908,Itanagra,2915908
2914901,Itacaré,2914901
2914802,Itabuna,2914802
2913606,Ilhéus,2913606
2913457,Igrapiúna,2913457
2910602,Esplanada,2910602
2910503,Entre Rios,2910503
2910057,Dias d'Ávila,2910057
2908606,Conde,2908606
2907509,Catu,2907509
2907004,Cardeal da Silva,2907004
2906907,Caravelas,2906907
2906501,Candeias,2906501
2906303,Canavieiras,2906303
2905800,Camamu,2905800
2905701,Camaçari,2905701
2905404,Cairu,2905404
2904902,Cachoeira,2904902
2903409,Belmonte,2903409
2902302,Aratuípe,2902302
2902054,Araçás,2902054
2900801,Alcobaça,2900801
2807204,Siriri,2807204
2806701,São Cristóvão,2806701
2806602,Santo Amaro das Brotas,2806602
2806305,Santa Luzia do Itanhy,2806305
2806107,Rosário do Catete,2806107
2805901,Riachuelo,2805901
2805307,Pirambu,2805307
2804904,Pacatuba,2804904
2804805,Nossa Senhora do Socorro,2804805
2804409,Neópolis,2804409
2804003,Maruim,2804003
2803609,Laranjeiras,2803609
2803401,Japoatã,2803401
2803302,Japaratuba,2803302
2803203,Itaporanga d'Ajuda,2803203
2802809,Indiaroba,2802809
2802700,Ilha das Flores,2802700
2802502,General Maynard,2802502
2802106,Estância,2802106
2802007,Divina Pastora,2802007
2801504,Carmópolis,2801504
2800704,Brejo Grande,2800704
2800605,Barra dos Coqueiros,2800605
2800308,Aracaju,2800308
2708907,Satuba,2708907
2708709,São Miguel dos Milagres,2708709
2708501,São Luís do Quitunde,2708501
2707909,Santa Luzia do Norte,2707909
2707800,Roteiro,2707800
2707701,Rio Largo,2707701
2707404,Porto de Pedras,2707404
2707305,Porto Calvo,2707305
2706901,Pilar,2706901
2706802,Piaçabuçu,2706802
2706703,Penedo,2706703
2706505,Passo de Camaragibe,2706505
2706448,Paripueira,2706448
2705507,Murici,2705507
2705200,Messias,2705200
2704708,Marechal Deodoro,2704708
2704500,Maragogi,2704500
2704302,Maceió,2704302
2703759,Jequiá da Praia,2703759
2703601,Japaratinga,2703601
2703205,Igreja Nova,2703205
2702702,Feliz Deserto,2702702
2702306,Coruripe,2702306
2702207,Coqueiro Seco,2702207
2700607,Barra de São Miguel,2700607
2700508,Barra de Santo Antônio,2700508
2700409,Atalaia,2700409
2614857,Tamandaré,2614857
2614204,Sirinhaém,2614204
2613404,São José da Coroa Grande,2613404
2611903,Rio Formoso,2611903
2611606,Recife,2611606
2610707,Paulista,2610707
2609600,Olinda,2609600
2607901,Jaboatão dos Guararapes,2607901
2607752,Itapissuma,2607752
2607604,Ilha de Itamaracá,2607604
2607208,Ipojuca,2607208
2606804,Igarassu,2606804
2606200,Goiana,2606200
2605459,Fernando de Noronha,2605459
2602902,Cabo de Santo Agostinho,2602902
2601409,Barreiros,2601409
2600054,Abreu e Lima,2600054
2513703,Santa Rita,2513703
2512903,Rio Tinto,2512903
2511905,Pitimbu,2511905
2509305,Mataraca,2509305
2509057,Marcação,2509057
2508604,Lucena,2508604
2507507,João Pessoa,2507507
2504603,Conde,2504603
2503209,Cabedelo,2503209
2503001,Caaporã,2503001
2501807,Bayeux,2501807
2501401,Baía da Traição,2501401
2500601,Alhandra,2500601
2415008,Vila Flor,2415008
2414407,Touros,2414407
2414209,Tibau do Sul,2414209
2413201,Senador Georgino Avelino,2413201
2412559,São Miguel do Gostoso,2412559
2412005,São Gonçalo do Amarante,2412005
2411601,São Bento do Norte,2411601
2411056,Tibau,2411056
2410256,Porto do Mangue,2410256
2409902,Pendências,2409902
2409506,Pedra Grande,2409506
2408953,Rio do Fogo,2408953
2408201,Nísia Floresta,2408201
2408102,Natal,2408102
2408003,Mossoró,2408003
2407500,Maxaranguape,2407500
2407203,Macau,2407203
2407104,Macaíba,2407104
2404507,Guamaré,2404507
2404408,Grossos,2404408
2404101,Galinhos,2404101
2403608,Extremoz,2403608
2403251,Parnamirim,2403251
2402600,Ceará-Mirim,2402600
2402204,Canguaretama,2402204
2401859,Caiçara do Norte,2401859
2401404,Baía Formosa,2401404
2401206,Arês,2401206
2401107,Areia Branca,2401107
2313500,Trairi,2313500
2312403,São Gonçalo do Amarante,2312403
2310852,Pindoretama,2310852
2310258,Paraipaba,2310258
2310209,Paracuru,2310209
2307254,Jijoca de Jericoacoara,2307254
2306553,Itarema,2306553
2306405,Itapipoca,2306405
2305357,Icapuí,2305357
2304459,Fortim,2304459
2304400,Fortaleza,2304400
2304285,Eusébio,2304285
2304251,Cruz,2304251
2303907,Chaval,2303907
2303709,Caucaia,2303709
2303501,Cascavel,2303501
2302602,Camocim,2302602
2302206,Beberibe,2302206
2302057,Barroquinha,2302057
2301109,Aracati,2301109
2301000,Aquiraz,2301000
2300754,Amontada,2300754
2300200,Acaraú,2300200
2207702,Parnaíba,2207702
2205706,Luís Correia,2205706
2204659,Ilha Grande,2204659
2202083,Cajueiro da Praia,2202083
2201919,Bom Princípio do Piauí,2201919
2112803,Viana,2112803
2112506,Tutóia,2112506
2112407,Turiaçu,2112407
2111789,Serrano do Maranhão,2111789
2111300,São Luís,2111300
2111201,São José de Ribamar,2111201
2111003,São João Batista,2111003
2110278,Santo Amaro do Maranhão,2110278
2110203,Santa Rita,2110203
2109601,Rosário,2109601
2109452,Raposa,2109452
2109403,Primeira Cruz,2109403
2109056,Porto Rico do Maranhão,2109056
2108058,Paulino Neves,2108058
2107506,Paço do Lumiar,2107506
2107100,Morros,2107100
2106805,Mirinzal,2106805
2106201,Luís Domingues,2106201
2105104,Icatu,2105104
2105005,Humberto de Campos,2105005
2104909,Guimarães,2104909
2104305,Godofredo Viana,2104305
2103703,Cururupu,2103703
2103125,Central do Maranhão,2103125
2103109,Cedral,2103109
2102903,Carutapera,2102903
2102606,Cândido Mendes,2102606
2102408,Cajapió,2102408
2101905,Bequimão,2101905
2101707,Barreirinhas,2101707
2101350,Bacurituba,2101350
2101301,Bacuri,2101301
2101251,Bacabeira,2101251
2101103,Axixá,2101103
2101004,Arari,2101004
2100907,Araioses,2100907
2100832,Apicum-Açu,2100832
2100709,Anajatuba,2100709
2100204,Alcântara,2100204
2100154,Água Doce do Maranhão,2100154
1600808,Vitória do Jari,1600808
1600709,Tartarugalzinho,1600709
1600600,Santana,1600600
1600550,Pracuúba,1600550
1600501,Oiapoque,1600501
1600402,Mazagão,1600402
1600303,Macapá,1600303
1600253,Itaubal,1600253
1600212,Cutias,1600212
1600204,Calçoene,1600204
1600105,Amapá,1600105
1508308,Viseu,1508308
1508209,Vigia,1508209
1508035,Tracuateua,1508035
1507961,Terra Alta,1507961
1507904,Soure,1507904
1507706,São Sebastião da Boa Vista,1507706
1507474,São João de Pirabas,1507474
1507466,São João da Ponta,1507466
1507102,São Caetano de Odivelas,1507102
1507003,Santo Antônio do Tauá,1507003
1506906,Santarém Novo,1506906
1506500,Santa Izabel do Pará,1506500
1506401,Santa Cruz do Arari,1506401
1506351,Santa Bárbara do Pará,1506351
1506302,Salvaterra,1506302
1506203,Salinópolis,1506203
1506112,Quatipuru,1506112
1506104,Primavera,1506104
1505809,Portel,1505809
1505700,Ponta de Pedras,1505700
1505205,Oeiras do Pará,1505205
1504901,Muaná,1504901
1504505,Melgaço,1504505
1504422,Marituba,1504422
1504406,Marapanim,1504406
1504307,Maracanã,1504307
1504109,Magalhães Barata,1504109
1503408,Inhangapi,1503408
1503101,Gurupá,1503101
1502905,Curuçá,1502905
1502806,Curralinho,1502806
1502608,Colares,1502608
1502509,Chaves,1502509
1502400,Castanhal,1502400
1502202,Capanema,1502202
1502004,Cachoeira do Arari,1502004
1501808,Breves,1501808
1501709,Bragança,1501709
1501501,Benevides,1501501
1501402,Belém,1501402
1501303,Barcarena,1501303
1501105,Bagre,1501105
1500909,Augusto Corrêa,1500909
1500800,Ananindeua,1500800
1500701,Anajás,1500701
1500305,Afuá,1500305
1500107,Abaetetuba,1500107
